0.0,Time0.0,0.2,Time0.2,0.3,Time0.3
0.0,0.0,0.0,0.0,0.0,0.0
19283.0,0.03837704658508301,19020.0,0.038091182708740234,18349.0,0.04438376426696777
19545.0,0.07568478584289551,19070.0,0.0774848461151123,18797.0,0.08611011505126953
19691.0,0.11348605155944824,19395.0,0.8897509574890137,18875.0,0.4632749557495117
19807.0,0.18765473365783691,19477.0,6.892726182937622,18923.0,0.5064682960510254
20067.0,0.4367804527282715,19502.0,15.66079306602478,18929.0,1.3245863914489746
20129.0,2.7646303176879883,19779.0,36.40414547920227,18979.0,1.6624975204467773
20285.0,28.20867896080017,19875.0,51.97105622291565,19011.0,5.179928302764893
20290.0,215.5626106262207,20189.0,198.01747608184814,19025.0,5.2228076457977295
20305.0,243.14114379882812,N/A,N/A,19402.0,10.407320022583008
20377.0,335.576562166214,N/A,N/A,19417.0,828.8267819881439
20419.0,401.09855461120605,N/A,N/A,19516.0,1188.028995513916
20525.0,557.8114016056061,N/A,N/A,N/A,N/A
