Value,Time,Instance,K
15068.0,0.0,AMPARO,3
21085.0,0.316378116607666,AMPARO,3
21104.0,0.6387677192687988,AMPARO,3
21115.0,15.82352328300476,AMPARO,3
21124.0,45.86606407165527,AMPARO,3
15060.0,0.0,AMPARO,10
21192.0,4.81246280670166,AMPARO,10
21306.0,21.50372838973999,AMPARO,10
21355.0,51.59934210777283,AMPARO,10
15199.0,0.0,AMPARO,20
21470.0,54.17105507850647,AMPARO,20
15403.0,0.0,BORJA,3
21070.0,0.3906676769256592,BORJA,3
15910.0,0.0,BORJA,10
21152.0,2.8317437171936035,BORJA,10
21294.0,63.17196822166443,BORJA,10
14963.0,0.0,BORJA,20
21248.0,32.78177881240845,BORJA,20
21481.0,62.44164991378784,BORJA,20
21488.0,207.46210861206055,BORJA,20
13823.0,0.0,DANIEL,3
20698.0,0.33328700065612793,DANIEL,3
20908.0,0.5962772369384766,DANIEL,3
21151.0,1.141730785369873,DANIEL,3
21158.0,92.9092710018158,DANIEL,3
15493.0,0.0,DANIEL,10
21320.0,4.7859625816345215,DANIEL,10
21323.0,16.40342092514038,DANIEL,10
15083.0,0.0,DANIEL,20
21331.0,22.28680157661438,DANIEL,20
21375.0,144.4676651954651,DANIEL,20
15560.0,0.0,EMILIO,3
20639.0,0.3989081382751465,EMILIO,3
20738.0,0.7288925647735596,EMILIO,3
21025.0,1.2523653507232666,EMILIO,3
21053.0,3.327019214630127,EMILIO,3
21067.0,9.436359643936157,EMILIO,3
21074.0,16.021766424179077,EMILIO,3
21093.0,16.57846188545227,EMILIO,3
21104.0,16.822731971740723,EMILIO,3
21120.0,18.06829285621643,EMILIO,3
21123.0,18.372191429138184,EMILIO,3
21125.0,86.47278475761414,EMILIO,3
21137.0,88.16597628593445,EMILIO,3
15711.0,0.0,EMILIO,10
20925.0,2.879563093185425,EMILIO,10
21140.0,32.85730195045471,EMILIO,10
21229.0,38.60565161705017,EMILIO,10
21233.0,116.02259516716003,EMILIO,10
21351.0,119.23374009132385,EMILIO,10
15829.0,0.0,EMILIO,20
21125.0,17.975210189819336,EMILIO,20
21684.0,109.87447428703308,EMILIO,20
15238.0,0.0,JOSE,3
20594.0,0.4567091464996338,JOSE,3
20667.0,0.6666908264160156,JOSE,3
21179.0,1.2216801643371582,JOSE,3
21230.0,2.0863399505615234,JOSE,3
21244.0,14.706573009490967,JOSE,3
21262.0,42.92545676231384,JOSE,3
15433.0,0.0,JOSE,10
21290.0,3.159142255783081,JOSE,10
21409.0,15.310581684112549,JOSE,10
15215.0,0.0,JOSE,20
21441.0,45.16206192970276,JOSE,20
21487.0,164.25291848182678,JOSE,20
14692.0,0.0,MARIAJESUS,3
20932.0,0.40745067596435547,MARIAJESUS,3
20999.0,3.977832794189453,MARIAJESUS,3
21004.0,4.935928821563721,MARIAJESUS,3
21065.0,94.6411612033844,MARIAJESUS,3
15231.0,0.0,MARIAJESUS,10
21131.0,8.585500240325928,MARIAJESUS,10
21303.0,22.24778652191162,MARIAJESUS,10
21393.0,33.14071822166443,MARIAJESUS,10
21512.0,108.12431836128235,MARIAJESUS,10
14901.0,0.0,MARIAJESUS,20
21244.0,37.11973690986633,MARIAJESUS,20
21252.0,185.04467916488647,MARIAJESUS,20
15605.0,0.0,RAQUEL,3
21125.0,0.43079423904418945,RAQUEL,3
21127.0,1.0324711799621582,RAQUEL,3
21161.0,50.79322862625122,RAQUEL,3
21461.0,52.56834125518799,RAQUEL,3
15804.0,0.0,RAQUEL,10
21242.0,2.9202330112457275,RAQUEL,10
21379.0,6.452296733856201,RAQUEL,10
21423.0,162.48118019104004,RAQUEL,10
14909.0,0.0,RAQUEL,20
21550.0,54.913814067840576,RAQUEL,20
15534.0,0.0,VIRGINIA,3
20977.0,0.4784393310546875,VIRGINIA,3
20997.0,8.711820363998413,VIRGINIA,3
21157.0,9.710261106491089,VIRGINIA,3
15281.0,0.0,VIRGINIA,10
21253.0,7.774246454238892,VIRGINIA,10
21292.0,30.09373664855957,VIRGINIA,10
15082.0,0.0,VIRGINIA,20
21197.0,48.66967153549194,VIRGINIA,20
21292.0,107.64719438552856,VIRGINIA,20
